userid;gradeto;subfamilynameto;corporatetitleto;eventto;fired;fullpathto;deptto;topdeptto;regionto;agefake;classfake;groupfake
1000;15;Product Marketing;VP Product Marketing;Data Change;0;ProdMkt;Product Marketing;ProdMkt;Russia;77;1;A
10000;10;Software Engineering;Senior Developer;Data Change;0;FutureTechSecPlat;Secure Platform Development;FutureTech;Russia;77;1;A
10001;10;Software Engineering;Senior Research Developer;Transfer;0;R&DPDOLinuxKICSNetwIndPDK;KICS for Networks Industrial PDK;PDO;Russia;77;1;A
10002;7;Test Engineering R&D;Testing Engineer;Data Change;0;R&DIDOIntDevPlatform;Platform Development;IDO;Russia;77;1;A
10003;9;Software Engineering;Developer;Data Change;0;InIPA;Privacy Audit;InI;Russia;77;1;A
10004;8;IT Service Development;Developer;Data Change;0;ITSrvsDvptSolutImpl;IT Solutions Implementation;IT;Russia;77;1;A
10005;1;Intern;Intern;Termination;1;FinanceFinSyst;Finance Systems Support;Finance;Russia;77;1;A
10006;1;Intern;Intern;Termination;1;ITSrvsDvptInfra&PartPrIntSrvSup;Product Integration Services Support;IT;Russia;77;1;A
10007;1;Intern;Intern;Data Change;0;R&DIDOSAOUnix;Unix;IDO;Russia;77;1;A
10008;1;Intern;Intern;Data Change;0;ITITServDeskExpertSupportDataCenter;IT Infrastructure Maintenance;IT;Russia;77;1;A
10009;1;Intern;Intern;Termination;1;ITITServDeskExpertSupportDataCenter;IT Infrastructure Maintenance;IT;Russia;77;1;A
1001;6;Technology Research;Malware Analyst;Termination;1;R&DXAMWR;Anti-Malware Research;R&D;Russia;77;1;A
10010;1;Intern;Intern;Job Change;0;ITITServDeskExpertSupportDataCenter;IT Infrastructure Maintenance;IT;Russia;77;1;A
10011;4;PR  Corporate Communication;Corporate Communications Coordinator;Termination;1;HRComp&AnalytTEST;TEST;HR;APAC;77;1;A
10012;11;Enterprise Sales;Head of Enterprise Sales Germany;Data Change;0;EUDACHB2BEnt;EU DACH B2B Ent;EU;Europe;77;1;A
10013;9;ERP & Applications;Senior Marketing Automation Manager;Data Change;0;SalesOpsEnable;Sales Enablement;SalesOps;Russia;77;1;A
10014;8;Software Engineering;Software Development Engineer in Test;Data Change;0;R&DPDOWindowsCorporateAutotest;Test Automation;PDO;Russia;77;1;A
10015;8;Channel Sales;Channel Sales Manager;Data Change;0;RussiaSTANChannelResellerB2B;Resellers Partner Management B2B;RussiaSTAN;Russia;77;1;A
10016;5;Employee Relations;Military Specialist;Data Change;0;HRStaffAdmin;Staff Administration;HR;Russia;77;1;A
10017;6;Talent Acquisition & Management;Recruitment Manager;Data Change;0;HRAcq&BrandRecrSM&RD;Recruitment S&M and R&D;HR;Russia;77;1;A
10018;9;IT Service Development;Development Team Lead;Leave of Absence;0;ITSrvsDvptSolutImpl;IT Solutions Implementation;IT;Russia;77;1;A
10019;9;Software Engineering;Developer;Data Change;0;R&DCloud&WebWebDevMyKDev;MyKaspersky Development;Cloud&Web;Russia;77;1;A
1002;0;Project Management;Marketing Group Manager;Termination;1;EUBusMarkMarkCamp;Marketing Campaigns;EU;Europe;77;1;A
10020;1;Intern;Intern;Job Change;0;MktBrandProduction;Marketing Production;Mkt;Russia;77;1;A
10021;5;Accounting;Accountant;Termination;1;FinanceVSSIAcc&ReportVSSI;Accounting & Reporting VSSI;Finance;Russia;77;1;A
10022;7;Sales Planning & Analysis;Sales Back Office Manager;Data Change;0;SalesOpsBackOfficeCentr;Sales Back Office Central;SalesOps;Russia;77;1;A
10023;1;Office Security;Security Guard;Data Change;0;LegalSecurSecurityOfficeSecurity;Office Security;LegalSecur;Russia;77;1;A
10024;8;Business Process;Business Process Manager;Data Change;0;R&DIDOOperDeliv;Operations Delivery;IDO;Russia;77;1;A
9955;1;Intern;Intern;Data Change;0;R&DPDOCoreTechTestCommon;Common Components Quality Control;PDO;Russia;77;1;A
9956;1;Intern;Intern;Job Change;0;ProdMktQA&Risk;Quality Audit & Risk Assessment;ProdMkt;Russia;77;1;A
9957;8;IT Service Development;Developer;Data Change;0;ITSrvsDvptProdServTools;Analytic Tools Development;IT;Russia;77;1;A
9958;11;Software Engineering;Software Expert;Data Change;0;R&DPDOCoreTechProtectCoreDriv;Core Drivers Development;PDO;Russia;77;1;A
9959;5;Technology Research;Junior Security Services Analyst;Job Change;0;InITIRS;Tailored Intelligence Reporting System;InI;Russia;77;1;A
996;0;System Analysis R&D;System Analysts Group Manager;Termination;1;R&DXSAXCorpProd;Corporate Products System Analysis;R&D;Russia;77;1;A
9960;1;Intern;Intern;Data Change;0;R&DIDOIntDevPlatform;Platform Development;IDO;Russia;77;1;A
9961;1;Intern;Intern;Data Change;0;R&DPDOCoreTechProtectCoreDriv;Core Drivers Development;PDO;Russia;77;1;A
9962;1;Intern;Intern;Data Change;0;R&DServicesSecAnalysis;Security Services Analysis;Services;Russia;77;1;A
9963;1;Intern;Intern;Termination;1;R&DTRAMWRAMTDAntiRootkit;Anti-Rootkit Technologies;R&D;Russia;77;1;A
9964;1;Intern;Intern;Data Change;0;R&DIDOIntDevPlatform;Platform Development;IDO;Russia;77;1;A
9965;1;Intern;Intern;Data Change;0;R&DPDOMobileTest;Mobile Solutions Testing;PDO;Russia;77;1;A
9966;5;Technology Research;Junior Malware Analyst;Data Change;0;R&DTRAMWRAntiMWShiftAV;Shift AV Analysts;TR;Russia;77;1;A
9967;6;Software Engineering;Junior Developer;Data Change;0;R&DPDOEPMKSCDev;KSC Development;PDO;Russia;77;1;A
9968;5;Technology Research;Junior Malware Analyst;Data Change;0;R&DTRAMWRAMRATR&DBehavior;Behavior Detection;TR;Russia;77;1;A
997;12;Product Architecture;Lead Software Architect;Data Change;0;R&DCloud&Web;Cloud Infrastructure & Web Development;Cloud&Web;Europe;77;1;A
9971;1;Intern;Intern;Job Change;0;HROpsSupport;HR Support;HR;Russia;77;1;A
9972;11;Technical Project Management;Deputy Head of Security Awareness Technologies;Data Change;0;InISAT;Security Awareness Trainings;InI;Russia;77;1;A
9973;10;Retail Sales;Head of Tangible Sales LatAm;Transfer;0;LatAmDistr;ESD Distribution;LatAm;LatAm;77;1;A
9974;9;Channel Sales;Channel Account Manager;Data Change;0;EUDACHB2BSMBChannel;Channel Sales DACH;EU;Europe;77;1;A
9976;8;Channel Sales;Channel Sales Manager Austria;Data Change;0;EUDACHB2BA-CH;A-CH;EU;Europe;77;1;A
9977;7;Test Engineering R&D;Testing Engineer;Data Change;0;R&DPDOWindowsCorporateJPTest;Corporate Products Testing Japan;PDO;Japan;77;1;A
9978;8;Market Analysis;Business Intelligence Analyst;Data Change;0;SalesOpsSalesPAC;Sales Planning Analysis & Control;SalesOps;Russia;77;1;A
9979;7;PR Corporate Communication;Corporate Communications Manager;Data Change;0;CorpCommPRTechPR;Technology&Product PR;CorpComm;Russia;77;1;A
998;1;Logistics;Courier;Termination;1;XGDEEMEAXKLRussiaXDelivery;NoName;X GD EEMEA;Russia;77;1;A
9980;6;ERP & Applications;Application Support Analyst;Data Change;0;ITSrvsDvptSolutImplSupport;Support and Development Solutions;IT;Russia;77;1;A
9982;1;Intern;Intern;Data Change;0;R&DPDOWindowsConsTest;Consumer Products Testing;PDO;Russia;77;1;A
9983;1;Intern;Intern;Data Change;0;R&DPDOMobileTest;Mobile Solutions Testing;PDO;Russia;77;1;A
9984;1;Intern;Intern;Data Change;0;R&DPDOCoreTechTestUpdMod;Updatable Modules Quality Control;PDO;Russia;77;1;A
9985;8;Legal General;Junior Legal Counsel;Data Change;0;LegalSecurCorpLgl;Corporate Law;LegalSecur;Russia;77;1;A
9988;9;Software Engineering;Developer;Data Change;0;R&DPDOWindowsConsDevProd;Products Development;PDO;Russia;77;1;A
9989;9;Enterprise Sales;Enterprise Account Manager;Data Change;0;METAMEB2BEnterprise;Enterprise;META;META;77;1;A
